account_number,card_number,aty_code,card_status,foracid,car_code,product_code,acc_paym_mode,credit_limit,car_create_date
FA8810173928166056,CN4408661043257584,1,Y,CN4408661043257584,4770233,PDSC3,,,2022-10-30
FA9478210156690365,CR4509590456884356,2,Y,CR4509590456884356,4778560,PDSC2,10.0,65000.0,2023-04-15
FA9478210156690365,CR4509327187196140,2,Y,CR4509327187196140,4794252,PDSC2,100.0,71000.0,2022-12-15
FA9478210156690365,CN4408932652334641,1,Y,CN4408932652334641,4771675,PDSC3,,,2023-01-12
FA7619556712561457,CN4408846605582679,1,Y,CN4408846605582679,4732384,PDSC3,,,2022-10-19
FA7619556712561457,CR4509401409102136,2,Y,CR4509401409102136,4733361,PDSC2,100.0,76000.0,2023-02-24
FA7619556712561457,CN4408673234114249,1,Y,CN4408673234114249,4718065,PDSC3,,,2023-05-21
FA3403894863339345,CN4408725388506550,1,Y,CN4408725388506550,4737745,PDSC3,,,2023-04-09
FA3403894863339345,CN4408277471288077,1,Y,CN4408277471288077,4797207,PDSC3,,,2022-08-29
FA5942670485858553,CN4408236072614928,1,Y,CN4408236072614928,4746365,PDSC3,,,2023-02-04
FA6249234890363167,CN4408578270737443,1,Y,CN4408578270737443,4788072,PDSC3,,,2022-09-25
FA6249234890363167,CN4408661326959752,1,Y,CN4408661326959752,4772100,PDSC3,,,2022-06-17
FA9120365226525720,CN4408562818999588,1,Y,CN4408562818999588,4731416,PDSC3,,,2023-03-12
FA9120365226525720,CN4408892527052213,1,N,CN4408892527052213,4716847,PDSC3,,,2023-02-20
FA6607438577118830,CN4408536577491469,1,Y,CN4408536577491469,4764394,PDSC3,,,2022-07-30
FA9751580256536186,CN4408893164790582,1,Y,CN4408893164790582,4763492,PDSC3,,,2022-09-29
FA6304570648818518,CN4408538448993812,1,Y,CN4408538448993812,4775050,PDSC3,,,2022-12-13
FA7342168377713626,CN4408230238752849,1,Y,CN4408230238752849,4789814,PDSC3,,,2023-03-15
FA3254386322490018,CN4408285143655948,1,Y,CN4408285143655948,4787966,PDSC3,,,2023-02-22
FA3254386322490018,CR4509452113693935,2,Y,CR4509452113693935,4788705,PDSC2,10.0,72000.0,2022-06-13
FA3254386322490018,CR4509395158828249,2,Y,CR4509395158828249,4749112,PDSC2,10.0,72000.0,2022-07-15
FA5639165521635577,CR4509137966253116,2,Y,CR4509137966253116,4768488,PDSC2,10.0,56000.0,2022-10-11
FA8230069976338160,CN4408769123406431,1,Y,CN4408769123406431,4797948,PDSC3,,,2022-08-25
FA8230069976338160,CN4408290387990220,1,Y,CN4408290387990220,4739649,PDSC3,,,2023-05-03
FA6859481227544012,CR4509319995997867,2,Y,CR4509319995997867,4740781,PDSC2,10.0,46000.0,2023-05-19
FA7350703421125878,CN4408481040279801,1,Y,CN4408481040279801,4765812,PDSC3,,,2023-01-09
FA3272713133814003,CN4408262026644739,1,Y,CN4408262026644739,4779959,PDSC3,,,2023-04-04
FA3272713133814003,CN4408129206272099,1,Y,CN4408129206272099,4767530,PDSC3,,,2022-11-17
FA3272713133814003,CR4509132943692490,2,Y,CR4509132943692490,4718786,PDSC2,100.0,45000.0,2022-08-10
FA8292303655050310,CN4408751804930605,1,Y,CN4408751804930605,4718751,PDSC3,,,2022-07-19
FA9109566984039699,CN4408499747114476,1,Y,CN4408499747114476,4740306,PDSC3,,,2022-11-05
FA6347477741803500,CN4408368349719780,1,Y,CN4408368349719780,4781808,PDSC3,,,2022-09-14
FA6347477741803500,CR4509605952608894,2,Y,CR4509605952608894,4740086,PDSC2,10.0,77000.0,2022-06-14
FA9750238500545362,CR4509604210467027,2,Y,CR4509604210467027,4795704,PDSC2,100.0,64000.0,2022-11-20
FA9876835723186077,CR4509811591191406,2,Y,CR4509811591191406,4752032,PDSC2,10.0,45000.0,2022-08-24
FA9876835723186077,CN4408734241977202,1,Y,CN4408734241977202,4717016,PDSC3,,,2022-07-09
FA9876835723186077,CN4408781248401907,1,Y,CN4408781248401907,4776931,PDSC3,,,2022-09-03
FA7862771492693830,CN4408537348685617,1,Y,CN4408537348685617,4721833,PDSC3,,,2022-10-22
FA1353138166266962,CN4408305142069603,1,Y,CN4408305142069603,4757945,PDSC3,,,2023-01-22
FA9133582984450755,CN4408484330389709,1,Y,CN4408484330389709,4781529,PDSC3,,,2022-08-08
FA9133582984450755,CN4408333340786339,1,Y,CN4408333340786339,4720465,PDSC3,,,2023-01-18
FA9133582984450755,CN4408786495216394,1,Y,CN4408786495216394,4722086,PDSC3,,,2023-02-06
FA4564100776621249,CN4408611991843953,1,Y,CN4408611991843953,4730048,PDSC3,,,2022-12-10
FA4564100776621249,CN4408744051400276,1,Y,CN4408744051400276,4782109,PDSC3,,,2023-03-20
FA2245548812918621,CN4408430329963278,1,Y,CN4408430329963278,4724241,PDSC3,,,2022-12-07
FA2245548812918621,CR4509755232318900,2,Y,CR4509755232318900,4710389,PDSC2,100.0,31000.0,2022-12-18
FA2245548812918621,CN4408689446360134,1,Y,CN4408689446360134,4721069,PDSC3,,,2022-08-04
FA9141363925496863,CN4408225580842988,1,Y,CN4408225580842988,4781666,PDSC3,,,2022-10-21
FA8413190193064130,CN4408201494691484,1,Y,CN4408201494691484,4769104,PDSC3,,,2023-01-30
FA8413190193064130,CN4408982232401520,1,Y,CN4408982232401520,4726178,PDSC3,,,2023-03-06
FA8411058361844758,CN4408662515983436,1,Y,CN4408662515983436,4747260,PDSC3,,,2022-08-22
FA8824514150310352,CN4408244851042579,1,N,CN4408244851042579,4743979,PDSC3,,,2022-08-28
FA8824514150310352,CN4408719993261636,1,Y,CN4408719993261636,4777091,PDSC3,,,2022-10-24
FA8824514150310352,CN4408904447899664,1,Y,CN4408904447899664,4777141,PDSC3,,,2023-02-14
FA1574717731996887,CN4408184759594667,1,Y,CN4408184759594667,4717675,PDSC3,,,2022-12-09
FA1574717731996887,CN4408721563133318,1,Y,CN4408721563133318,4728544,PDSC3,,,2022-12-24
FA4867573286815339,CN4408910152580670,1,Y,CN4408910152580670,4768434,PDSC3,,,2023-04-08
FA4867573286815339,CR4509743405392802,2,Y,CR4509743405392802,4753459,PDSC2,100.0,77000.0,2022-09-23
FA2549278380805048,CN4408685246549291,1,Y,CN4408685246549291,4744179,PDSC3,,,2022-07-07
FA2549278380805048,CN4408560959179892,1,Y,CN4408560959179892,4711740,PDSC3,,,2023-02-24
FA2885646635452396,CN4408715369958726,1,Y,CN4408715369958726,4744158,PDSC3,,,2022-06-23
FA2885646635452396,CN4408424541228309,1,Y,CN4408424541228309,4791203,PDSC3,,,2022-08-19
FA4640004836756382,CR4509311415508641,2,Y,CR4509311415508641,4756362,PDSC2,10.0,69000.0,2022-10-14
FA4640004836756382,CR4509876323764415,2,Y,CR4509876323764415,4786305,PDSC2,10.0,61000.0,2022-11-24
FA4555121323501529,CN4408608784383227,1,Y,CN4408608784383227,4779605,PDSC3,,,2022-07-07
FA4555121323501529,CR4509931946316848,2,Y,CR4509931946316848,4772725,PDSC2,10.0,45000.0,2022-11-09
FA2510088984241290,CN4408756111713907,1,Y,CN4408756111713907,4737000,PDSC3,,,2023-03-03
FA2510088984241290,CN4408887008080428,1,Y,CN4408887008080428,4753040,PDSC3,,,2022-08-18
FA2510088984241290,CR4509281817875125,2,Y,CR4509281817875125,4752190,PDSC2,10.0,58000.0,2023-01-21
FA8916543896818729,CN4408834169522829,1,Y,CN4408834169522829,4792282,PDSC3,,,2022-08-04
FA8916543896818729,CN4408760021309369,1,Y,CN4408760021309369,4725097,PDSC3,,,2023-04-30
FA5561269128073205,CN4408292767664637,1,Y,CN4408292767664637,4787494,PDSC3,,,2022-11-26
FA5561269128073205,CN4408518200394694,1,Y,CN4408518200394694,4777056,PDSC3,,,2022-11-09
FA5561269128073205,CN4408395686469799,1,Y,CN4408395686469799,4782295,PDSC3,,,2023-03-29
FA3146453489497792,CN4408337166988426,1,Y,CN4408337166988426,4790166,PDSC3,,,2023-01-24
FA3146453489497792,CN4408544884656374,1,Y,CN4408544884656374,4710358,PDSC3,,,2023-03-20
FA9609180842949648,CN4408646146598067,1,Y,CN4408646146598067,4752748,PDSC3,,,2022-10-10
FA9745582290586187,CR4509836132211878,2,Y,CR4509836132211878,4719971,PDSC2,100.0,92000.0,2022-07-20
FA3134229911104353,CR4509825598647803,2,Y,CR4509825598647803,4727211,PDSC2,100.0,75000.0,2022-06-15
FA3134229911104353,CN4408746893655029,1,Y,CN4408746893655029,4713097,PDSC3,,,2023-02-17
FA3552119754983747,CN4408312706611339,1,Y,CN4408312706611339,4771451,PDSC3,,,2022-06-18
FA2843991326588204,CN4408389819978054,1,Y,CN4408389819978054,4785771,PDSC3,,,2022-10-01
FA6136717538544656,CN4408559878026740,1,Y,CN4408559878026740,4752687,PDSC3,,,2023-03-16
FA6136717538544656,CR4509196372975202,2,Y,CR4509196372975202,4781396,PDSC2,10.0,30000.0,2022-10-25
FA6136717538544656,CN4408440524981068,1,Y,CN4408440524981068,4745909,PDSC3,,,2022-06-10
FA8936334715312026,CR4509629038784486,2,Y,CR4509629038784486,4798984,PDSC2,100.0,59000.0,2023-03-01
FA8936334715312026,CR4509890759060798,2,Y,CR4509890759060798,4713511,PDSC2,100.0,43000.0,2023-04-23
FA7932212114222235,CN4408411518944515,1,Y,CN4408411518944515,4731803,PDSC3,,,2022-07-13
FA7932212114222235,CN4408514339635250,1,Y,CN4408514339635250,4751563,PDSC3,,,2022-08-18
FA7932212114222235,CN4408172399661113,1,Y,CN4408172399661113,4776464,PDSC3,,,2022-09-24
FA4771139366018837,CN4408254399494285,1,Y,CN4408254399494285,4783030,PDSC3,,,2023-01-21
FA4634102463342082,CR4509276668432038,2,Y,CR4509276668432038,4736446,PDSC2,100.0,48000.0,2023-02-05
FA3685656792667610,CN4408432967981404,1,Y,CN4408432967981404,4796363,PDSC3,,,2022-06-26
FA1656370583442456,CR4509883346465263,2,Y,CR4509883346465263,4782535,PDSC2,10.0,41000.0,2022-10-24
