cif_id,cust_first_name,cust_middle_name,cust_last_name,full_name,cust_type,cust_dob,gender,address_line,employment_status,salary_per_month,riskrating,marital_status,occupation,blacklisted,pan,email,cust_community,rating,constitution_code,constitution_code_desc,mobile_number,account_relationship_date
DLNINDV1034377,BIDEHA,,PUNJALI,BIDEHA PUNJALI,INDIVIDUAL,1997-01-28T00:00:00.000000,M,BAGEWA,Self employed,83333.3333333333,LOW RISK,MARRIED,BUSINESSMAN,N,PN40024,bideha_punjali83@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779814235656.0,2021-11-22T00:00:00.000000
DLNLEG7386070,,,TANAHUN DIGITAL PVT. LTD.,TANAHUN DIGITAL PVT. LTD.,LEGAL,2009-09-13T00:00:00.000000,,BHUWARI,,,LOW RISK,,NOT AVAILABLE,,PN97194,tanahundigitalpvt.ltd.14@outlook.org,,GOOD,PRIVA,PRIVATE LTD.,,2006-06-13T00:00:00.000000
DLNLEG5743387,,,PYUTHAN LOGISTICS PVT. LTD.,PYUTHAN LOGISTICS PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,GAJURI-01,,,LOW RISK,,NOT AVAILABLE,,PN35133,pyuthanlogisticspvt.ltd.96@outlook.org,,SATIS,PUBLI,PUBLIC LTD.,,2018-05-06T00:00:00.000000
DLNLEG1472012,,,PATHIVARA LOGISTICS PVT. LTD.,PATHIVARA LOGISTICS PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,"TULSIPUR-03,DANG",,,LOW RISK,,NOT AVAILABLE,,PN37341,pathivaralogisticspvt.ltd.100@outlook.org,,SATIS,PUBLI,PUBLIC LTD.,,2018-01-23T00:00:00.000000
DLNLEG8991108,,,DLYTICA ACADEMY,DLYTICA ACADEMY,LEGAL,1900-01-01T00:00:00.000000,,"BHERIMALIKA-04,JAJARKOT",,,LOW RISK,,NOT AVAILABLE,,PN81158,dlyticaacademy21@outlook.org,,SATIS,PUBLI,PUBLIC LTD.,,2018-07-13T00:00:00.000000
DLNINDV3642192,LAJANA,,JADHARI,LAJANA JADHARI,INDIVIDUAL,2003-09-27T00:00:00.000000,F,IMADOL,STUDENT,8333.33333333333,LOW RISK,UNMARRIED,STUDENT,N,PN43210,lajana_jadhari24@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779817629108.0,2022-02-10T00:00:00.000000
DLNLEG9050180,,,PARSA TRADING PVT. LTD.,PARSA TRADING PVT. LTD.,LEGAL,2007-03-20T00:00:00.000000,,"ITAHARI-4, SUNSARI",,,LOW RISK,,,,PN72697,parsatradingpvt.ltd.36@outlook.org,,SATIS,PRIVA,PRIVATE LTD.,,2008-11-28T00:00:00.000000
DLNLEG8924849,,,MANANG HOSPITALITY PVT. LTD.,MANANG HOSPITALITY PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,.,,,LOW RISK,,,,PN40081,mananghospitalitypvt.ltd.85@outlook.org,,SATIS,PRIVA,PRIVATE LTD.,,2007-09-05T00:00:00.000000
DLNLEG7908571,,,RUPA SAVINGS AND CREDIT COOPERATIVE LTD.,RUPA SAVINGS AND CREDIT COOPERATIVE LTD.,LEGAL,1900-01-01T00:00:00.000000,,KATHMANDU,,,LOW RISK,,,,PN37719,rupasavingsandcreditcooperativeltd.52@outlook.org,,SATIS,PRIVA,PRIVATE LTD.,,1999-09-23T00:00:00.000000
DLNINDV9005238,SIMIN,,ADHIKARI,SIMIN ADHIKARI,INDIVIDUAL,1969-04-13T00:00:00.000000,F,LAHARE SIMAL,Other,0.0,LOW RISK,MARRIED,FARMER,N,PN66203,simin_adhikari24@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779858075963.0,2020-12-01T00:00:00.000000
DLNINDV8841767,BHIMSEN,,MAHAT,BHIMSEN MAHAT,INDIVIDUAL,2001-04-14T00:00:00.000000,M,KHARSAL,Unemployed,41666.6666666666,LOW RISK,UNMARRIED,STUDENT,N,PN72179,bhimsen_mahat31@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779827626860.0,2020-10-09T00:00:00.000000
DLNLEG4676009,,,SAGARMATHA CLOTHING PVT. LTD.,SAGARMATHA CLOTHING PVT. LTD.,LEGAL,1994-03-08T00:00:00.000000,,KAKARVITTA,,,LOW RISK,,NOT AVAILABLE,N,PN58227,sagarmathaclothingpvt.ltd.69@outlook.org,,SATIS,COOPE,CO-OPERATIVES,,2010-01-13T00:00:00.000000
DLNLEG3271256,,,SYANGJA REAL ESTATE LTD.,SYANGJA REAL ESTATE LTD.,LEGAL,2015-09-06T00:00:00.000000,,SANIARJUN,,,LOW RISK,,TRADING,N,PN97361,syangjarealestateltd.29@outlook.org,,GOOD,PRIVA,PRIVATE LTD.,,2015-11-09T00:00:00.000000
DLNLEG6891664,,,KANCHANJUNGA LOGISTICS PVT. LTD.,KANCHANJUNGA LOGISTICS PVT. LTD.,LEGAL,2008-11-05T00:00:00.000000,,"SESHNARAYAN, DAKSHINKALI",,,,,,N,PN18934,kanchanjungalogisticspvt.ltd.38@outlook.org,,SATIS,PROP,PROPRIETORSHIP,,2020-07-13T00:00:00.000000
DLNLEG3332659,,,KAILASH PRINTING PRESS PVT. LTD.,KAILASH PRINTING PRESS PVT. LTD.,LEGAL,2014-04-09T00:00:00.000000,,DEBREBASH,,,,,,N,PN21941,kailashprintingpresspvt.ltd.35@outlook.org,,,PUBLI,PUBLIC LTD.,,2019-06-17T00:00:00.000000
DLNLEG9094864,,,SUNSARI VENTURES LTD.,SUNSARI VENTURES LTD.,LEGAL,2003-06-16T00:00:00.000000,,PULCHOWK,,,LOW RISK,,NOT AVAILABLE,N,PN41507,sunsariventuresltd.80@outlook.org,,SATIS,COOPE,CO-OPERATIVES,,2015-07-07T00:00:00.000000
DLNINDV3029580,PRITY,,PANTH,PRITY PANTH,INDIVIDUAL,1994-11-12T00:00:00.000000,F,HARIYALI,,0.0,LOW RISK,OTHERS,NOT AVAILABLE,N,PN30698,prity_panth82@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779860926822.0,2018-10-07T00:00:00.000000
DLNLEG1002018,,,SAGARMATHA TRADERS PVT. LTD.,SAGARMATHA TRADERS PVT. LTD.,LEGAL,2000-12-27T00:00:00.000000,,PUTALIBAZAR,,,LEVEL 1 HIGH RISK (H1),,NOT AVAILABLE,N,PN43650,sagarmathatraderspvt.ltd.87@outlook.org,,SATIS,PRIVA,PRIVATE LTD.,,2008-08-27T00:00:00.000000
DLNLEG9280301,,,SINDHUPALCHOWK MEDIA PVT. LTD.,SINDHUPALCHOWK MEDIA PVT. LTD.,LEGAL,1972-07-18T00:00:00.000000,,ALAKHIYA ROAD,,,LOW RISK,,NOT AVAILABLE,N,PN39494,sindhupalchowkmediapvt.ltd.1@outlook.org,,GOOD,PROP,PROPRIETORSHIP,,2010-08-18T00:00:00.000000
DLNINDV9411546,SALINDA,,ROHIT,SALINDA ROHIT,INDIVIDUAL,1993-02-28T00:00:00.000000,M,TALCHIKHEL,Employed,166666.666666666,LOW RISK,UNMARRIED,ENGINEER,N,PN92590,salinda_rohit37@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779849935186.0,2022-01-11T00:00:00.000000
DLNINDV3737249,JYOTSNA,,ROHIT,JYOTSNA ROHIT,INDIVIDUAL,1987-01-17T00:00:00.000000,F,DUDHE,,,LOW RISK,,HOUSEWIFE,N,PN34018,jyotsna_rohit8@gmail.com,HINDU,,INDIV,INDIVIDUAL,,
DLNLEG8662013,,,DLYTICA HOSPITAL PVT. LTD.,DLYTICA HOSPITAL PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,.,,,LEVEL 1 HIGH RISK (H1),,NOT AVAILABLE,,PN99885,dlytica.hospital2024@gmail.com,,SATIS,PRIVA,PRIVATE LTD.,,2005-04-26T00:00:00.000000
DLNINDV6102134,ANUBHAV,,NAME,ANUBHAV NAME,INDIVIDUAL,1995-10-16T00:00:00.000000,M,GOLBAZAR,Salaried,66666.6666666666,LOW RISK,UNMARRIED,BANKER,N,PN93979,anubhav_name47@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779865001421.0,2021-12-08T00:00:00.000000
DLNINDV9829180,ANSHIKA,,KUMHAL,ANSHIKA KUMHAL,INDIVIDUAL,1979-03-03T00:00:00.000000,F,SANGEET MARG,Employed,83333.3333333333,LOW RISK,MARRIED,SERVICE,N,PN13053,anshika_kumhal13@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779817070178.0,2022-02-17T00:00:00.000000
DLNINDV7376099,JASHPAL,,HUZDAR,JASHPAL HUZDAR,INDIVIDUAL,1973-12-04T00:00:00.000000,M,MUNAL TOLE,Other,41666.6666666666,LOW RISK,MARRIED,FARMER,N,PN15181,jashpal_huzdar4@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779842714896.0,2022-07-04T00:00:00.000000
DLNINDV8027647,ARZOO,,BUDHATHKOI,ARZOO BUDHATHKOI,INDIVIDUAL,2020-08-07T00:00:00.000000,F,TYANGLAPHAT,Other,83333.3333333333,LOW RISK,UNMARRIED,STUDENT,N,PN37530,arzoo_budhathkoi78@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779869212111.0,2022-08-11T00:00:00.000000
DLNINDV1884561,SEJAL,,THPA,SEJAL THPA,INDIVIDUAL,1995-02-20T00:00:00.000000,F,BANK ROAD,Salaried,20833.3333333333,LOW RISK,UNMARRIED,SERVICE,N,PN91201,sejal_thpa81@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779857622285.0,2019-10-17T00:00:00.000000
DLNINDV9203844,EKATA,,PALIKHEY,EKATA PALIKHEY,INDIVIDUAL,1985-11-07T00:00:00.000000,F,TARAKESHWOR,Salaried,0.0,LOW RISK,MARRIED,SERVICE,N,PN36803,ekata_palikhey61@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779841500302.0,2021-01-21T00:00:00.000000
DLNINDV6145827,PRAKAKASH,,SIDDIQI,PRAKAKASH SIDDIQI,INDIVIDUAL,1965-11-10T00:00:00.000000,M,ODRA,Self employed,0.0,LOW RISK,MARRIED,SELF-EMPLOYED,N,PN21487,prakakash_siddiqi82@gmail.com,,,INDIV,INDIVIDUAL,9779807116557.0,2020-07-29T00:00:00.000000
DLNINDV4062609,BALI,,SANGROULA,BALI SANGROULA,INDIVIDUAL,1982-03-02T00:00:00.000000,M,"HN.114,WN.01,JAMAL,KATHMANDU",,0.0,LEVEL 1 HIGH RISK (H1),OTHERS,HOUSEWIFE,N,PN54905,bali_sangroula67@gmail.com,HINDU,SATIS,INDIV,INDIVIDUAL,9779814232385.0,2013-01-01T00:00:00.000000
DLNINDV4194632,SAMEEKSHA,,DUGU,SAMEEKSHA DUGU,INDIVIDUAL,1966-04-13T00:00:00.000000,F,SHIRISIYA,Self employed,0.0,LOW RISK,MARRIED,BUSINESSMAN,N,PN46963,sameeksha_dugu79@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779855021378.0,2020-12-01T00:00:00.000000
DLNINDV4823079,SHISHUMA,,MALEKHU,SHISHUMA MALEKHU,INDIVIDUAL,1951-01-31T00:00:00.000000,F,GYANESHWOR,,0.0,LOW RISK,MARRIED,SERVICE,N,PN95978,shishuma_malekhu22@gmail.com,HINDU,SATIS,INDIV,INDIVIDUAL,9779769324143.0,2017-01-03T00:00:00.000000
DLNINDV3541327,HEM,,SINNYA,HEM SINNYA,INDIVIDUAL,1989-11-25T00:00:00.000000,F,NAYATHIMI,Employed,23333.3333333333,LOW RISK,MARRIED,SERVICE,N,PN35550,hem_sinnya68@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779841027592.0,2021-11-19T00:00:00.000000
DLNINDV3824282,BASUKINATH,,ROHIT,BASUKINATH ROHIT,INDIVIDUAL,1971-11-21T00:00:00.000000,M,BANSBARI,,,LOW RISK,,HOUSEWIFE,N,PN23601,basukinath_rohit96@gmail.com,HINDU,,INDIV,INDIVIDUAL,,
DLNINDV4602161,SUHRIT,,SANGROULA,SUHRIT SANGROULA,INDIVIDUAL,1955-08-05T00:00:00.000000,M,BALUWATAR,,,LOW RISK,,SERVICE,N,PN35313,suhrit_sangroula98@gmail.com,HINDU,,INDIV,INDIVIDUAL,,
DLNINDV1154622,AVILEKH,,RILAMI,AVILEKH RILAMI,INDIVIDUAL,2000-01-01T00:00:00.000000,M,MAHENDRA HIGHWAY,,,LOW RISK,,STUDENT,N,PN44888,avilekh_rilami55@gmail.com,HINDU,,INDIV,INDIVIDUAL,,
DLNLEG4013210,,,SURKHET AGRO CO-OP LTD.,SURKHET AGRO CO-OP LTD.,LEGAL,1900-01-01T00:00:00.000000,,.,,,LOW RISK,,NOT AVAILABLE,,PN87273,surkhetagroco-opltd.6@outlook.org,,GOOD,OTHER,OTHERS,,2010-11-04T00:00:00.000000
DLNINDV8292522,ADHISTA/PUNITA,nan/nan,SHRESHA/NHEMHAFUKI,ADHISTA SHRESHA/PUNITA NHEMHAFUKI,INDIVIDUAL,1965-07-16T00:00:00.000000,,"MIRCHAIYA-05, DUMARI, SIRAHA",,0.0,LOW RISK,MARRIED,BUSINESSMAN,N,PN90506,punita_nhemhafuki50@gmail.com,HINDU,SATIS,INDIJ,INDIVIDUAL JOINT,9779802965455.0,2015-03-24T00:00:00.000000
DLNINDV2100799,AMTESH,,BHANTANA,AMTESH BHANTANA,INDIVIDUAL,1978-06-13T00:00:00.000000,M,RATOPUL,Self employed,,LOW RISK,MARRIED,BUSINESSMAN,N,PN27501,amtesh_bhantana81@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779851143192.0,2018-12-13T00:00:00.000000
DLNLEG2788737,,,KAVREPALANCHOK MEDIA PVT. LTD.,KAVREPALANCHOK MEDIA PVT. LTD.,LEGAL,2019-01-31T00:00:00.000000,,"ITAHARI, TARAHARA",,,,,,,PN22952,kavrepalanchokmediapvt.ltd.67@outlook.org,,,PROP,PROPRIETORSHIP,,2019-02-06T00:00:00.000000
DLNLEG2876683,,,MANANG HYDROPOWER LTD.,MANANG HYDROPOWER LTD.,LEGAL,2017-02-07T00:00:00.000000,,POKHARA,,,,,,,PN35617,mananghydropowerltd.58@outlook.org,,,COOPE,CO-OPERATIVES,,2019-02-06T00:00:00.000000
DLNLEG5431116,,,NEPAL HERITAGE TOURS PVT. LTD.,NEPAL HERITAGE TOURS PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,NHYOKHA-28,,,MEDIUM RISK,,NOT AVAILABLE,,PN23191,nepalheritagetourspvt.ltd.13@outlook.org,,SATIS,PRIVA,PRIVATE LTD.,,2014-03-26T00:00:00.000000
DLNLEG8745455,,,PALPA PHARMACEUTICALS PVT. LTD.,PALPA PHARMACEUTICALS PVT. LTD.,LEGAL,2019-01-29T00:00:00.000000,,DALIT TOLE,,,,,,,PN42498,palpapharmaceuticalspvt.ltd.82@outlook.org,,,USTS,UPABHOKTA SAMITTEE OR TOLESUDHAR SAMITTEE,,2019-02-06T00:00:00.000000
