transaction_id,transaction_key,foracid,transaction_amount,amount_left,p_tran_type,digital_flag,transaction_channel_type,timestamp
DI24351038,DI24351038TRNX02047D,FA4088775107246815,455200.0,455200.0,C,Y,BY_DIGITAL,2023-07-16T02:59:52
DI35704098,DI35704098TRNX02047D,FA9478210156690365,111700.0,123453.0,C,Y,BY_DIGITAL,2023-07-16T08:39:48
CD19789178,CD19789178TRNX20077C,FA9478210156690365,5900.0,,D,Y,BY_CARD,2023-07-16T13:48:47
DI98630740,DI98630740TRNX02047D,FA8292303655050310,1154.0,16151.0,D,Y,BY_DIGITAL,2023-07-16T15:44:37
DI13228613,DI13228613TRNX02047D,FA2781286926387686,16769.0,11846.0,D,Y,BY_DIGITAL,2023-07-16T15:54:44
DI78049166,DI78049166TRNX02047D,FA1139881137621193,36000.0,38906.0,C,Y,BY_DIGITAL,2023-07-16T16:15:56
BR27552431,BR27552431TRNX02027B,FA1855192012423583,3500.0,13500.0,C,N,BY_BRANCH,2023-07-16T17:05:02
CD44978064,CD44978064TRNX20077C,FA1855192012423583,49900.0,,D,Y,BY_CARD,2023-07-16T18:13:32
CD33738647,CD33738647TRNX20077C,FA1855192012423583,10200.0,,C,Y,BY_CARD,2023-07-16T18:14:16
BR47406317,BR47406317TRNX02027B,FA8427121053242687,33000.0,33000.0,C,N,BY_BRANCH,2023-07-16T20:47:59
CD59379952,CD59379952TRNX20077C,FA8427121053242687,41400.0,,C,Y,BY_CARD,2023-07-16T21:36:16
BR89221619,BR89221619TRNX02027B,FA8810173928166056,17000.0,147258.0,C,N,BY_BRANCH,2023-07-16T22:14:29
BK71941558,BK71941558TRNX20097K,FA3455438214240804,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK10189804,BK10189804TRNX20097K,FA8767626463821873,125.0,10011.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK47981141,BK47981141TRNX20097K,FA2781286926387686,148.075,11857.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK22859794,BK22859794TRNX20097K,FA4930062649839293,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK90714979,BK90714979TRNX20097K,FA8810173928166056,1840.725,147269.0,C,N,BY_BRANCH,2023-07-16 00:00:00
